Test,Test#,Pattern,Wafer,Site,Pin,Device,Value,Unit,P/F,Time,TS Time,Print To Data Log
"IIHIO_BQ0084T",16000046,"",0,1,"AD29",1,6.649,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000047,"",0,1,"M66EN",1,6.821,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000048,"",0,1,"CLKOUT0",1,6.411,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000049,"",0,1,"INTB_Z",1,6.509,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000050,"",0,1,"CBE2_Z",1,6.432,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000051,"",0,1,"SERIRQ",1,6.512,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000052,"",0,1,"IRDY_Z",1,6.484,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000053,"",0,1,"AD22",1,6.602,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000054,"",0,1,"TRDY_Z",1,6.517,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000055,"",0,1,"AD0",1,6.609,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000056,"",0,1,"AD20",1,6.469,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000057,"",0,1,"INTD_Z",1,6.617,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000058,"",0,1,"AD6",1,6.527,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000059,"",0,1,"GNT0_Z",1,6.553,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000060,"",0,1,"AD19",1,6.54,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000061,"",0,1,"AD21",1,6.596,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000062,"",0,1,"GNT2_Z",1,6.545,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000063,"",0,1,"AD27",1,6.592,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000064,"",0,1,"AD30",1,6.517,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000065,"",0,1,"AD2",1,6.483,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000066,"",0,1,"PAR",1,6.464,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000067,"",0,1,"AD17",1,6.601,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000068,"",0,1,"LOCK_Z",1,6.612,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000069,"",0,1,"AD12",1,6.532,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000070,"",0,1,"CLKOUT4",1,6.494,"uA","P",0.0273895,***,""
"IIHIO_BQ0084T",16000071,"",0,1,"CBE3_Z",1,6.609,"uA","P",0.0273895,***,""
